tld,DNSSEC enabled %,DNSSEC Enabled?,#Days of no DNSSEC in 2019,#Days of no DNSSEC in 2020,#Days of no DNSSEC in 2021,#Days of no DNSSEC,First DNSSEC enabled
.aaa,1.0,enabled,0,0,0,0,2019-01-01
.pharmacy,1.0,enabled,0,0,0,0,2019-01-01
.ott,1.0,enabled,0,0,0,0,2019-01-01
.ovh,1.0,enabled,0,0,0,0,2019-01-01
.page,1.0,enabled,0,0,0,0,2019-01-01
.paris,1.0,enabled,0,0,0,0,2019-01-01
.pars,1.0,enabled,0,0,0,0,2019-01-01
.partners,1.0,enabled,0,0,0,0,2019-01-01
.parts,1.0,enabled,0,0,0,0,2019-01-01
.party,1.0,enabled,0,0,0,0,2019-01-01
.passagens,1.0,enabled,0,0,0,0,2019-01-01
.pay,1.0,enabled,0,0,0,0,2019-01-01
.pccw,1.0,enabled,0,0,0,0,2019-01-01
.pet,1.0,enabled,0,0,0,0,2019-01-01
.pfizer,1.0,enabled,0,0,0,0,2019-01-01
.philips,1.0,enabled,0,0,0,0,2019-01-01
.organic,1.0,enabled,0,0,0,0,2019-01-01
.phone,1.0,enabled,0,0,0,0,2019-01-01
.photo,1.0,enabled,0,0,0,0,2019-01-01
.photography,1.0,enabled,0,0,0,0,2019-01-01
.photos,1.0,enabled,0,0,0,0,2019-01-01
.physio,1.0,enabled,0,0,0,0,2019-01-01
.piaget,1.0,enabled,0,,,,2019-01-01
.pics,1.0,enabled,0,0,0,0,2019-01-01
.pictures,1.0,enabled,0,0,0,0,2019-01-01
.pin,1.0,enabled,0,0,0,0,2019-01-01
.ping,1.0,enabled,0,0,0,0,2019-01-01
.pink,1.0,enabled,0,0,0,0,2019-01-01
.pizza,1.0,enabled,0,0,0,0,2019-01-01
.place,1.0,enabled,0,0,0,0,2019-01-01
.osaka,1.0,enabled,0,0,0,0,2019-01-01
.open,1.0,enabled,0,0,0,0,2019-01-01
.navy,1.0,enabled,0,0,0,0,2019-01-01
.nra,1.0,enabled,0,0,0,0,2019-01-01
.netbank,1.0,enabled,0,0,0,0,2019-01-01
.network,1.0,enabled,0,0,0,0,2019-01-01
.neustar,1.0,enabled,0,0,0,0,2019-01-01
.newholland,1.0,enabled,0,0,0,0,2019-01-01
.news,1.0,enabled,0,0,0,0,2019-01-01
.ngo,1.0,enabled,0,0,0,0,2019-01-01
.nike,1.0,enabled,0,0,0,0,2019-01-01
.ninja,1.0,enabled,0,0,0,0,2019-01-01
.nokia,1.0,enabled,0,0,0,0,2019-01-01
.northwesternmutual,1.0,enabled,0,0,0,0,2019-01-01
